,Values
0,0.05104675710339643
1,0.4053951584438009
2,0.007764032909611896
3,0.12023763179790742
4,0.005554696142459633
5,0.04798975940516235
6,0.05570500174987473
7,0.0258604568898238
8,0.11728883135435321
9,0.024244932327051015
10,0.013555309062048451
11,0.0056602620752497276
12,0.03833132289094936
13,0.08136584784831093
