,HorseName,HorseName_cn,Jockey,Trainer,Score
0,SKY TRUST,信心星,L Hewitson,C Fownes,0.3479599692070824
1,A AMERIC TE SPECSO,有財有勢,J Orman,J Size,0.16320246343341033
2,AESTHETICISM,唯美主義,A Atzeni,P C Ng,0.2548113933795227
3,OUTGATE,亞機拉,Y L Chung,A S Cruz,0.16397228637413394
4,HAMERON,博望坡,L Ferraris,K W Lui,0.23941493456505003
5,ROMANTIC LAOS,浪漫老撾,C L Chau,W K Mo,0.24403387220939185
6,HARMONY GALAXY,香港神駒,B Avdulla,C S Shum,0.26712856043110084
7,STELLAR SWIFT,紫荊歡呼,H Bowman,D A Hayes,0.31947652040030794
8,OSI HONOUR,澳嘉輝,A Hamelin,D Eustace,0.25327174749807546
9,KOLACHI,至高心得,K De Melo,D J Whyte,0.17013086989992302
10,STURDY RUBY,紅海勁,A Badel,K L Man,0.4110854503464203
11,ANOTHER ZONDA,暴風之子,M Chadwick,Y S Tsui,0.19707467282525018
