Unnamed: 0_x,Racedate,HorseNo,HorseName,HorseName_cn,Jockey,Jockey_cn,ActWeight,HorseWeight,Draw,Trainer,Total,Class,Distance,Venue,Course,Going,RaceTime,RestDays,Freq,Gear,HorseScore,Unnamed: 0_y,Age
0,2025/10/19,1,VOYAGE BUBBLE,遨遊氣泡,M F Poon,潘明輝,135,1231,6,P F Yiu,7,Group Two,1600,Sha Tin,"Turf, ""C+3"" Course",Good,16:10,147,0,PPG,134,1659,7
1,2025/10/19,2,GALAXY PATCH,錶之銀河,C L Chau,周俊樂,122,1173,9,P C Ng,7,Group Two,1600,Sha Tin,"Turf, ""C+3"" Course",Good,16:10,175,0,PP,121,1429,6
2,2025/10/19,3,RED LION,紅運帝王,R Kingscote,金誠剛,119,1140,13,J Size,7,Group Two,1600,Sha Tin,"Turf, ""C+3"" Course",Good,16:10,141,0,PP,118,1430,6
3,2025/10/19,4,BEAUTY JOY,美麗同享,K C Leung,梁家俊,117,1064,14,A S Cruz,7,Group Two,1600,Sha Tin,"Turf, ""C+3"" Course",Good,16:10,98,0,PP,116,1777,9
4,2025/10/19,5,STRAIGHT ARRON,直線力山,E C W Wong,黃智弘,117,1127,1,P F Yiu,7,Group Two,1600,Sha Tin,"Turf, ""C+3"" Course",Good,16:10,119,0,PP,116,1661,7
5,2025/10/19,6,MY WISH,祝願,A Badel,巴度,115,1003,11,M Newnham,7,Group Two,1600,Sha Tin,"Turf, ""C+3"" Course",Good,16:10,21,1,PPG,114,982,5
6,2025/10/19,7,COPARTNER PRANCE,合夥奔馳,K De Melo,董明朗,115,1131,10,K W Lui,7,Group Two,1600,Sha Tin,"Turf, ""C+3"" Course",Good,16:10,21,2,PPG,111,1431,6
7,2025/10/19,8,HAPPY TOGETHER,越駿歡欣,K Teetan,田泰安,115,1141,8,F C Lor,7,Group Two,1600,Sha Tin,"Turf, ""C+3"" Course",Good,16:10,21,1,PP,111,1433,6
8,2025/10/19,9,BEAUTY ETERNAL,永遠美麗,M Chadwick,蔡明紹,115,1198,5,J Size,7,Group Two,1600,Sha Tin,"Turf, ""C+3"" Course",Good,16:10,98,0,PPG,108,1663,7
9,2025/10/19,10,CAP FERRAT,百賀飛駒,M L Yeung,楊明綸,115,1085,3,K W Lui,7,Group Two,1600,Sha Tin,"Turf, ""C+3"" Course",Good,16:10,119,0,PP,108,986,5
10,2025/10/19,11,ENSUED,安騁,A Atzeni,艾兆禮,115,1075,2,J Size,7,Group Two,1600,Sha Tin,"Turf, ""C+3"" Course",Good,16:10,119,0,PP,108,987,5
11,2025/10/19,12,SWORD POINT,知足常樂,D Probert,潘大衛,115,1127,7,F C Lor,7,Group Two,1600,Sha Tin,"Turf, ""C+3"" Course",Good,16:10,119,0,PP,108,1664,7
12,2025/10/19,13,VICTOR THE WINNER,維港智能,Y L Chung,鍾易禮,115,1094,12,D Eustace,7,Group Two,1600,Sha Tin,"Turf, ""C+3"" Course",Good,16:10,21,2,PPG,108,1665,7
13,2025/10/19,14,MOMENTS IN TIME,智取神駒,H Bentley,班德禮,115,1089,4,C S Shum,7,Group Two,1600,Sha Tin,"Turf, ""C+3"" Course",Good,16:10,21,1,PP,107,1438,6
