,HorseName,HorseName_cn,Jockey,Trainer,Score
2,PACKING PHOENIX,包裝戰將,Z Purton,K W Lui,0.5226547951759576
6,PROUD BOX,洪才,H Bowman,W Y So,0.17528762400628145
0,SPICY STANDARD,辣得準,B Avdulla,J Size,0.11368582892320435
