,HorseName,HorseName_cn,Jockey,Trainer,Score
0,GHORGAN,確好勁,K C Leung,K L Man,0.1077752117013087
1,HUGE WAVE,大浪圖田,H Bowman,K H Ting,0.4010777521170131
2,PANACEA,自然動力,J Orman,P F Yiu,0.16166281755196305
3,LIM'S SHAVANO,林家山神,L Hewitson,M Newnham,0.06389530408006158
4,FLYING FORTRESS,非凡豪傑,H Bentley,W K Mo,0.1747498075442648
5,DAZZLING FIT,一定超,L Ferraris,D Eustace,0.44649730561970746
6,SOUTH STAR,南區之星,A Atzeni,F C Lor,0.5912240184757506
7,STAR SATYR,久久為軍,Y L Chung,A S Cruz,0.13240954580446498
8,SUPER EXPRESS,綠野飛馳,B Avdulla,J Size,0.5658198614318707
9,FIGHTING MACHINE,堅闖,M L Yeung,P C Ng,0.15935334872979215
10,LUCKY TWIN STARS,雙星報喜,K Teetan,K W Lui,0.11624326404926867
11,SHAMUS STORM,紫荊拼搏,Z Purton,D A Hayes,0.6220169361046959
12,SOLID CAR,實力加,M F Poon,D J Hall,0.08852963818321787
13,TARGET AUDIENCE,觀眾之力,A Badel,C Fownes,0.06774441878367975
