,HorseName,HorseName_cn,Jockey,Trainer,Score
0,ALLCASH,凱明神駒,E C W Wong,C S Shum,0.031084838876917365
1,THE BEST PEACH,桃花雲,M Chadwick,A S Cruz,0.07869802958905396
2,BUNDLE AWARD,有目共賞,B Avdulla,J Size,0.10461360127179051
3,NEW FUTURE FOLKS,帥帥友福,B Thompson,C W Chang,0.1310539220109207
4,DRAGON JOY,皇仁歡星,M F Poon,P F Yiu,0.049150586401398404
5,EMBRACES,納百川,H Bentley,W K Mo,0.07205201993299439
6,SKY HEART,仁心星,H Bowman,C Fownes,0.18027767781783
7,MORGAN SUCCESS,龍城精將,A Badel,D J Whyte,0.06409111339290333
8,BEAUTY VIVA,爆出美麗,T Marquand,P C Ng,0.047639696449634845
9,SPANISH FLAME,俊才,K De Melo,W Y So,0.029322865483994553
10,EVERYONE'S STAR,大眾福星,K C Leung,F C Lor,0.0422910736629883
11,EXCELLENCE VALUE,星價,L Ferraris,M Newnham,0.06539149763034781
12,ANOTHER WORLD,不同世界,A Atzeni,T P Yung,0.09325627257518113
13,WINNING WING,天將龍駒,H T Mo,K W Lui,0.011076804904044718
