,HorseName,HorseName_cn,Jockey,Trainer,Score
0,REZEKI,進傲星,H Bowman,D J Hall,0.2963818321785989
1,ACROSS DA UNIVERSE,飛越星空,E C W Wong,P C Ng,0.0800615858352579
2,MR COOL,紅衣醒目,K Teetan,F C Lor,0.41878367975365666
3,C YEAH,大師爺,K C Leung,K H Ting,0.17936874518860663
4,KA YING SUPERB,嘉應巨昇,M F Poon,W K Mo,0.18629715165511931
5,SHAMUS STORM,紫荊拼搏,Z Purton,D A Hayes,0.4426481909160893
6,GOR GOR,暴風一族,B Thompson,J Richards,0.15088529638183218
7,CELESTIAL PATCH,錶之星球,A Atzeni,D Eustace,0.17090069284064666
8,HE WAS ME,劍無情,Y L Chung,A S Cruz,0.11393379522709776
9,SIGHT DREAMER,巧眼光,J Orman,J Size,0.1724403387220939
10,AUTUMN DELIGHT,喜勝駿駒,B Avdulla,C Fownes,0.11855273287143957
11,COLOURFUL WINNER,多彩多姿,M L Yeung,W Y So,0.21478060046189376
12,ONLY U,銳一,A Hamelin,T P Yung,0.09083910700538876
13,CIRCUIT MIGHTY,綫路神驊,P N Wong,K L Man,0.26250962278675904
