,HorseName,HorseName_cn,Jockey,Trainer,Score
0,BRILLIANT EXPRESS,神馳,H Bowman,J Size,0.3584228954310336
4,HAROLD WIN,哈羅威,C L Chau,K W Lui,0.2814469401851908
2,EVERYONE'S STAR,大眾福星,Z Purton,F C Lor,0.18422707824098294
