,Values
0,0.7756900802043128
1,0.05858298533412354
2,0.000811259598404186
3,0.0019316754106404811
4,0.0007525344688340542
5,0.0021720945622601723
6,0.0009227391317009282
7,0.09505441006812798
8,0.010431421448120903
9,0.00043624615215140513
10,0.0004965917504978929
11,0.006985200548506978
12,0.01143883182414829
13,0.03429392949817017
