,HorseName,HorseName_cn,Jockey,Trainer,Score
0,GALAXY WITNESS,喜旺駒,H Bowman,C Fownes,0.4518860662047729
1,THE AZURE,追風,B Avdulla,F C Lor,0.26712856043110084
2,CHAIN OF GOLD,爭金奪冠,Z Purton,W K Mo,0.46420323325635104
3,GOOD LUCK WIN,寶成智星,Y L Chung,K H Ting,0.3348729792147806
4,AMAZING AWARD,奮鬥輝煌,K Teetan,D Eustace,0.45111624326404925
5,NAMJONG KINGDOM,南莊堡,J Orman,W Y So,0.19553502694380293
6,SATIRICAL FAN,好好紛,H Bentley,C S Shum,0.2632794457274827
7,NEBRASKAN,獵寶勤,A Hamelin,J Size,0.21170130869899922
8,JUBILANT WINNER,快活英雄,A Atzeni,J Richards,0.2525019245573518
9,FORTUNE STAR,康昌之星,L Ferraris,M Newnham,0.11932255581216321
10,AMAZING RUN,奔妙星,L Hewitson,D A Hayes,0.2224788298691301
11,WAH MAY WAI WAI,華美之威,M Chadwick,A S Cruz,0.2501924557351809
