,Values
0,0.10077217992862922
1,0.01166415051826935
2,0.0018171680757909073
3,0.025071847243198043
4,0.15214649513339965
5,0.001746421153242865
6,0.0018378716638941573
7,0.0218732900294901
8,0.004334642315220745
9,0.00010663917877117577
10,0.6565854036418418
11,0.006727630407686551
12,0.007934243295031179
13,0.007382017415534201
