,HorseName,HorseName_cn,Jockey,Trainer,Score
0,HAPPY UNITED,萬眾開心,Y L Chung,J Richards,0.17321016166281755
1,SERGEANT PEPPER,胡椒軍曹,K C Leung,Y S Tsui,0.42340261739799845
2,HARMONY FIRE,天火同人,E C W Wong,D J Whyte,0.15165511932255582
3,MAJESTIC DELIGHT,首駿,H Bowman,D Eustace,0.371824480369515
4,SZERYNG,弦力寶,K Teetan,J Size,0.19322555812163203
5,LEAN MASTER,精益大師,H Bentley,C H Yip,0.2317167051578137
6,LA MOMENTO,八駿高昇,M Chadwick,A S Cruz,0.201693610469592
7,SPICY SPANGLE,辣得金,A Hamelin,W K Mo,0.29176289453425713
8,VICTORYTHIRTYTHREE,生生勝利,J Orman,P F Yiu,0.3394919168591224
9,HAPPY BOYS,快樂寶寶,L Hewitson,M Newnham,0.1308698999230177
10,SAVVY TWINKLE,亮寶,Z Purton,F C Lor,0.270977675134719
11,DAY DAY VICTORY,瑤瑤日上,A Badel,T P Yung,0.2063125481139338
