,HorseName,HorseName_cn,Jockey,Trainer,Score
0,YOUTHFUL SPIRITS,年少多好,L Ferraris,M Newnham,0.41185527328714394
1,SEASONS WIT,四季醒,L Hewitson,J Richards,0.34103156274056967
2,SUPERB CAPITALIST,八駿巨昇,M Chadwick,A S Cruz,0.4311008468052348
3,ETERNAL FORTUNE,連連幸運,C L Chau,C S Shum,0.4149345650500385
4,SPORTS LEGEND,川河動駒,M F Poon,C S Shum,0.2471131639722864
5,HEALTHY HEALTHY,添開心,A Atzeni,P C Ng,0.1924557351809084
6,NEZHA,哪吒,K C Leung,T P Yung,0.12471131639722864
7,THOUSAND SPIRIT,千杯不醉,A Badel,M Newnham,0.09545804464973057
8,PARENTS' LOVE,勝萬金,Y L Chung,A S Cruz,0.34872979214780603
9,GOLDEN RISE,金匯昇昇,A Hamelin,J Size,0.19707467282525018
10,SKY CAP,富心星,B Thompson,C Fownes,0.1354888375673595
11,WATCH THIS ONE,好多利高,K Teetan,P C Ng,0.20708237105465743
