Unnamed: 0_x,Racedate,HorseNo,HorseName,HorseName_cn,Jockey,Jockey_cn,ActWeight,HorseWeight,Draw,Trainer,Total,Class,Distance,Venue,Course,Going,RaceTime,RestDays,Freq,Gear,HorseScore,Unnamed: 0_y,Age
0,2025/10/26,1,MASSIVE SOVEREIGN,大至尊,B Avdulla,艾道拿,135,1094,10,D Eustace,10,Class 2,1600,Sha Tin,"Turf, ""A"" Course",Good,15:40,105,0,PP,105,990,5
1,2025/10/26,2,RUBYLOT,球星,H Bowman,布文,135,1136,13,D A Hayes,10,Class 2,1600,Sha Tin,"Turf, ""A"" Course",Good,15:40,28,1,PPG,105,991,5
2,2025/10/26,3,BUNDLE AWARD,有目共賞,A Atzeni,艾兆禮,134,1070,12,J Size,10,Class 2,1600,Sha Tin,"Turf, ""A"" Course",Good,15:40,105,0,PP,104,994,5
3,2025/10/26,4,HONG LOK GOLF,康樂高球,H Bentley,班德禮,126,1150,9,W Y So,10,Class 2,1600,Sha Tin,"Turf, ""A"" Course",Good,15:40,25,1,PPG,96,1002,5
4,2025/10/26,5,JOHANNES BRAHMS,玩笑,Z Purton,潘頓,125,1143,4,P C Ng,10,Class 2,1600,Sha Tin,"Turf, ""A"" Course",Good,15:40,28,1,PP,95,283,4
5,2025/10/26,6,MARKWIN,但求開心,M Chadwick,蔡明紹,121,1206,7,W K Mo,10,Class 2,1600,Sha Tin,"Turf, ""A"" Course",Good,15:40,28,2,ISG,91,1011,5
6,2025/10/26,7,VOYAGE SAMURAI,遨遊武士,K C Leung,梁家俊,121,1183,1,F C Lor,10,Class 2,1600,Sha Tin,"Turf, ""A"" Course",Good,15:40,39,1,PPG,91,1451,6
7,2025/10/26,8,STEPS AHEAD,遙遙領先,C L Chau,周俊樂 (-2),118,1074,11,K W Lui,10,Class 2,1600,Sha Tin,"Turf, ""A"" Course",Good,15:40,25,2,PPG,88,1019,5
8,2025/10/26,9,TALENTS AMBITION,精英雄心,K Teetan,田泰安,118,1219,5,M Newnham,10,Class 2,1600,Sha Tin,"Turf, ""A"" Course",Good,15:40,22,1,PP,88,1021,5
9,2025/10/26,10,STUNNING PEACH,桃花開,Y L Chung,鍾易禮 (-2),115,1080,2,A S Cruz,10,Class 2,1600,Sha Tin,"Turf, ""A"" Course",Good,15:40,217,0,PP,84,290,4
10,2025/10/26,11,HUGE WAVE,大浪圖田,A Badel,巴度,115,1204,8,K H Ting,10,Class 2,1600,Sha Tin,"Turf, ""A"" Course",Good,15:40,25,1,PP,82,1461,6
11,2025/10/26,12,SKY HEART,仁心星,M L Yeung,楊明綸,115,1236,14,C Fownes,10,Class 2,1600,Sha Tin,"Turf, ""A"" Course",Good,15:40,179,0,PPG,82,1058,5
12,2025/10/26,13,MICKLEY,米奇,M F Poon,潘明輝,115,1191,3,J Size,10,Class 2,1600,Sha Tin,"Turf, ""A"" Course",Good,15:40,25,2,PP,81,295,4
13,2025/10/26,14,SAGACIOUS LIFE,睿盛人生,P N Wong,黃寶妮 (-7),115,1068,6,P C Ng,10,Class 2,1600,Sha Tin,"Turf, ""A"" Course",Good,15:40,300,0,PP,80,299,4
