,Values
0,0.10455015988148579
1,0.007394545051278061
2,0.014071090642940574
3,0.022234702965477592
4,0.008429293311314751
5,0.04971531879652975
6,0.015583340965705869
7,0.032428392847376725
8,0.6932161591916741
9,0.007113777733311048
10,0.01192665670801906
11,0.002848530992567708
12,0.023655895944086854
13,0.0068321349682320945
