horse_no,win,place
1,4.2,1.6
2,23,5.5
3,45,11
4,8.8,3.1
5,13,4.2
6,31,8.2
7,18,4.7
8,4.6,2.1
9,21,6.0
10,16,4.6
11,68,14
12,9.0,2.7
13,31,7.9
14,6.7,2.3
