,HorseName,Score
0,BEAUTY CRESCENT,0.7247059884556708
1,FASHION LEGEND,0.16402591266160577
2,JOYFUL HUNTER,0.7326643771109462
3,LESLIE,0.18348476404547612
4,MASSIVE ACTION,0.22847380506943346
5,BEAUTY FIT,0.08878205845502721
6,JOLLY RULER,0.1142124705429609
7,ORIENTAL SMOKE,0.1644952790584812
8,JUMBO FORTUNE,0.059296792729767775
9,STORM LEGEND,0.2611392905183296
10,FLYING MOJITO,0.2308506344490371
11,I CAN,0.08262270635869931
12,SWIFT ASCEND,0.20791575903041412
13,AMAZING DUCK,0.10562306222773894
