,HorseName,Score
0,TRUE GENIUS,0.402731925987995
1,MASTER OF FORTUNE,0.3430062308158108
2,THE HEIR,0.6704776627015434
3,SILVER UP,0.23241818299822112
4,FOREVER CHARM,0.15815337196811483
5,SUPERB BOY,0.6750595537462885
6,BLUE MARLIN,0.5118563612934385
7,SIXTH GENERATION,0.37039946302846166
8,WINNER METHOD,0.29546673034043386
9,ORIENTAL SMOKE,0.15303248707315917
10,PINS PRINCE,0.17705718966072637
11,E LEGEND,0.17211271112559914
12,SOLAR PARTNER,0.20128909696404448
13,SEIZING THE MOMENT,0.13728037816214114
