,HorseName,HorseName_cn,Jockey,Trainer,Score
0,FUN ELITE,中環精英,Z Purton,T P Yung,0.37644341801385683
1,FLYING TING LOK,螢影飛馳,A Atzeni,K L Man,0.0800615858352579
2,SUPER LOVE,戀愛狂,C L Chau,C H Yip,0.2732871439568899
3,THUNDER PRINCE,雷神太保,H Bowman,W Y So,0.24018475750577367
4,WRITTEN CASA,領航財子,K Teetan,J Richards,0.1993841416474211
5,AMAZING VICTORY,縱橫天下,J Orman,C W Chang,0.1878367975365666
6,VICTOR THE RAPID,維港激流,L Ferraris,P C Ng,0.08775981524249422
7,LUCKY KING,開運王,K C Leung,W K Mo,0.12933025404157045
8,GLORY CLOUD,飛雲,H Bentley,C Fownes,0.2363356428021555
9,VULCANUS,星火燎原,K De Melo,Y S Tsui,0.403387220939184
10,WINNING MONEY,紅錢到,L Hewitson,K W Lui,0.29176289453425713
11,SUPER CHARIZZARD,超勁火力,A Badel,M Newnham,0.2840646651270208
