,HorseName,HorseName_cn,Jockey,Trainer,Score
1,PATCH OF STARS,錶之星河,Z Purton,K L Man,0.5825564877712147
3,INFINITE RESOLVE,晒冷,L Ferraris,M Newnham,0.11478128764401577
5,SKY JOY,天賜喜,C L Chau,P F Yiu,0.10138665457838708
