,HorseName,Score
0,STARSHIP EIGHTY,0.158262032998481
1,DIAMOND DIAMOND,0.21750601803398373
2,FASTPASS,0.03861840730412033
3,HAPPY HUNK,0.04747612580442304
4,CHARMANDER,0.15656266022783694
5,ONE HEART ONE,0.3154400793788316
6,ARTHUR'S KINGDOM,0.04841730249690899
7,ANGELS HUNTER,0.21045983412979183
8,BRILLIANT PIONEER,0.06224459741584738
9,BROTHER PEARL,0.04044607228803188
10,GENERAL WINNER,0.07990942120954297
11,EAGLE RUN,0.12845462658395077
12,STAR OF GLORY,0.05743711141451475
13,SMART BEAUTY,0.06349200723599806
