,HorseName,Score
0,HELIOS EXPRESS,0.24644868200773293
1,HELENE FEELING,0.2464362024257202
2,CHILL CHIBI,0.2458669959747869
3,ENSUED,0.2465038872726306
4,BEAUTY CRESCENT,0.24650310971375397
5,SPEED DRAGON,0.24548764169737647
6,UNBELIEVABLE,0.24337102326204507
7,CHANCHENG GLORY,0.24333045836616615
8,AWESOME FLUKE,0.244582829303552
9,ELLIPTICAL,0.2430712366173103
10,KA YING GENERATION,0.24445609223899095
11,FALLON,0.24519806628534743
12,SIMPLY MAVERICK,0.24646376553447163
13,STAR MAC,0.24494274898440285
